target,source_col,split,source,layer,model,model_family,n_eval,positive_rate,accuracy,balanced_accuracy,macro_f1,roc_auc,average_precision
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,dummy_majority,baseline,90,0.4777777777777778,0.5222222222222223,0.5,0.34306569343065696,0.5,0.4777777777777778
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,metadata_main_logit,main_effects,90,0.4777777777777778,0.7444444444444445,0.7424542305789213,0.7428890821016023,0.7966353290450272,0.8217570332286706
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,metadata_pairwise_logit,pairwise_interactions,90,0.4777777777777778,0.7666666666666667,0.7657100445324097,0.7659442724458204,0.8530430479960415,0.8620143381756918
D_stat_nonzero,D_stat_max,random_kfold,raw,0,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.7777777777777778,0.7753587333003463,0.7760079641612743,0.813953488372093,0.8278681745043079
D_stat_nonzero,D_stat_max,random_kfold,raw,0,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.6666666666666666,0.6689757545769421,0.666501976284585,0.7060860959920832,0.5962184868990844
D_stat_nonzero,D_stat_max,random_kfold,raw,4,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8,0.8005937654626423,0.799901185770751,0.8852053438891638,0.8579875809990632
D_stat_nonzero,D_stat_max,random_kfold,raw,4,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7111111111111111,0.7154873824839189,0.7098214285714286,0.7184562097971301,0.6070234697858312
D_stat_nonzero,D_stat_max,random_kfold,raw,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8,0.8005937654626423,0.799901185770751,0.8777832756061357,0.8261374185449436
D_stat_nonzero,D_stat_max,random_kfold,raw,8,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7,0.7008906481939634,0.6999629583899247,0.7555665512122711,0.6470619307601237
D_stat_nonzero,D_stat_max,random_kfold,raw,12,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8111111111111111,0.8112320633349827,0.8109010011123471,0.8817417120237507,0.8126152577137429
D_stat_nonzero,D_stat_max,random_kfold,raw,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.768678871845621,0.766637856525497,0.8109846610588817,0.7045079302849016
D_stat_nonzero,D_stat_max,random_kfold,raw,16,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8333333333333334,0.8325086590796635,0.8328173374613003,0.8931222167243938,0.8734815653141761
