target,source_col,split,source,layer,model,model_family,n_eval,positive_rate,accuracy,balanced_accuracy,macro_f1,roc_auc,average_precision
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,dummy_majority,baseline,90,0.4777777777777778,0.5222222222222223,0.5,0.34306569343065696,0.5,0.4777777777777778
D_stat_nonzero,D_stat_max,leave_secret_out,delta,24,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.8441365660564077,0.8441365660564077,0.904997525977239,0.9086769214790191
D_stat_nonzero,D_stat_max,leave_secret_out,raw,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8222222222222222,0.8208807521029193,0.8214285714285714,0.9183572488866898,0.9226563533366574
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,metadata_main_logit,main_effects,90,0.4777777777777778,0.8,0.7976249381494309,0.7984071677451469,0.830776843146957,0.8603069535737957
D_stat_nonzero,D_stat_max,leave_secret_out,metadata,-1,metadata_pairwise_logit,pairwise_interactions,90,0.4777777777777778,0.7888888888888889,0.7869866402770905,0.7876040243448019,0.8931222167243938,0.9032439418403073
D_stat_nonzero,D_stat_max,leave_secret_out,delta,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.8222222222222222,0.8228599703117269,0.8221343873517787,0.8287976249381493,0.7914899991373207
D_stat_nonzero,D_stat_max,leave_secret_out,raw,16,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.7666996536368135,0.7664071190211346,0.8565066798614548,0.8449277644169353
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,dummy_majority,baseline,90,0.4777777777777778,0.5222222222222223,0.5,0.34306569343065696,0.5,0.4777777777777778
D_stat_nonzero,D_stat_max,random_kfold,delta,8,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8444444444444444,0.8441365660564077,0.8441365660564077,0.8795150915388421,0.8288729775660197
D_stat_nonzero,D_stat_max,random_kfold,raw,16,hidden_linear_pca_logit,linear,90,0.4777777777777778,0.8333333333333334,0.8325086590796635,0.8328173374613003,0.8931222167243938,0.8734815653141761
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,metadata_main_logit,main_effects,90,0.4777777777777778,0.7444444444444445,0.7424542305789213,0.7428890821016023,0.7966353290450272,0.8217570332286706
D_stat_nonzero,D_stat_max,random_kfold,metadata,-1,metadata_pairwise_logit,pairwise_interactions,90,0.4777777777777778,0.7666666666666667,0.7657100445324097,0.7659442724458204,0.8530430479960415,0.8620143381756918
D_stat_nonzero,D_stat_max,random_kfold,delta,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7888888888888889,0.7869866402770905,0.7876040243448019,0.7894606630380999,0.7240082784782108
D_stat_nonzero,D_stat_max,random_kfold,raw,12,hidden_quadratic_pca_logit,quadratic,90,0.4777777777777778,0.7666666666666667,0.768678871845621,0.766637856525497,0.8109846610588817,0.7045079302849016
