layer,label_col,n,pca_var_1,pca_var_2,pca_var_2d,silhouette_hidden,silhouette_pca2,linear_acc,ridge_r2_D_stat_max
0,transform_family,90,0.146402969956398,0.1125754714012146,0.2589784413576126,0.14284102618694305,0.14284014701843262,1.0,0.4104986318678556
4,transform_family,90,0.3591938316822052,0.11508673429489136,0.47428056597709656,0.17019790410995483,0.4268445372581482,1.0,0.35459094804747826
8,transform_family,90,0.3034866452217102,0.13560520112514496,0.43909184634685516,0.19186586141586304,0.5487963557243347,1.0,0.32751757632668044
12,transform_family,90,0.2803342044353485,0.1557234674692154,0.4360576719045639,0.19561897218227386,0.496814101934433,1.0,0.34629541795867025
16,transform_family,90,0.22220854461193085,0.18134993314743042,0.40355847775936127,0.21583949029445648,0.4607674777507782,1.0,0.2051280112147118
20,transform_family,90,0.19094187021255493,0.15634359419345856,0.3472854644060135,0.1958816945552826,0.3742086589336395,1.0,0.32835928019463145
24,transform_family,90,0.20481446385383606,0.18226836621761322,0.3870828300714493,0.17629198729991913,0.09533437341451645,1.0,0.33000759178259353
