transform_family,transform_strength,n_prompts,nonzero_rate,mean_D_stat_max,median_D_stat_max,mean_D_exact,mean_D_partial,mean_D_transform,mean_D_unsafe_coop
transform_extraction,2,5,1.0,3.999945403340392,3.999945403340392,3.999945403340392,3.999945403340392,0.5059676367365025,0.0
partial_extraction,3,5,1.0,3.7059239594088162,3.999945403340392,0.3917605225328315,1.7250893827903653,0.0,3.2126197542815085
transform_extraction,3,5,1.0,2.1447926596894473,2.529838183682512,2.0305855454857764,2.0305855454857764,1.8119243541410832,0.01266343160919452
context_injection,2,15,0.8,0.9785331304690753,0.1309171500379672,0.6733902383191797,0.9602228899789187,0.008727810002531146,0.02139124161172567
partial_extraction,2,5,1.0,0.6838454601046509,0.6749952886164841,0.01266343160919452,0.39459048488089754,0.0,0.22938486654463713
transform_extraction,1,5,0.4,0.12490691337349402,0.0,0.12490691337349402,0.12490691337349402,0.0,0.0
context_injection,1,15,0.3333333333333333,0.09913506004830826,0.0,0.04528325095161582,0.09887630087443022,0.0,0.0042211438697315065
context_injection,3,15,0.13333333333333333,0.012948953872262654,0.0,0.012948953872262654,0.012948953872262654,0.0,0.0
none,0,15,0.13333333333333333,0.012722205007100834,0.0,0.0,0.012722205007100834,0.0,0.0
partial_extraction,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
