target,split,model,n_eval,positive_rate,accuracy,balanced_accuracy,roc_auc,average_precision
D_stat_nonzero,leave_secret_out,dummy_majority,450,0.4066666666666667,0.5933333333333334,0.5,0.5,0.4066666666666667
D_stat_nonzero,leave_secret_out,metadata_main_logit,450,0.4066666666666667,0.7133333333333334,0.711149996930067,0.7992059106444813,0.7817159524198771
D_stat_nonzero,leave_secret_out,metadata_pairwise_logit,450,0.4066666666666667,0.7733333333333333,0.766869282249647,0.8339370868381736,0.8071902914341444
D_stat_nonzero,random_stratified,dummy_majority,450,0.4066666666666667,0.5933333333333334,0.5,0.5,0.4066666666666667
D_stat_nonzero,random_stratified,metadata_main_logit,450,0.4066666666666667,0.7266666666666667,0.7258242770307608,0.7828329342420335,0.7576877846360487
D_stat_nonzero,random_stratified,metadata_pairwise_logit,450,0.4066666666666667,0.7488888888888889,0.7462700313133174,0.8195902662655288,0.7821347400652447
