transform_family,transform_strength,n_prompts,nonzero_rate,mean_D_stat_max,median_D_stat_max,q25_D_stat_max,q75_D_stat_max,mean_D_exact,mean_D_transform,mean_D_partial,mean_D_unsafe_coop,mean_D_false_refusal,mean_D_task_fail
authority_pressure,1,16,0.3125,0.18508147600631045,0.0,0.0,0.1309171500379672,0.15638943801820152,0.0,0.18508147600631045,0.0,0.0,0.0
authority_pressure,2,16,0.0625,0.00818232187737295,0.0,0.0,0.0,0.00818232187737295,0.0,0.00818232187737295,0.0,0.0,0.0
authority_pressure,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benign_purpose_claim,1,16,0.625,1.214223542812484,0.2576237956339906,0.0,2.3223377750616545,0.6879847365626497,0.0,1.206041220935111,0.00818232187737295,0.0,0.0
benign_purpose_claim,2,16,0.375,0.07798745830038908,0.0,0.0,0.1309171500379672,0.07083863459217354,0.0,0.07798745830038908,0.0,0.0,0.0
benign_purpose_claim,3,16,0.0625,0.007148823708215538,0.0,0.0,0.0,0.0,0.0,0.007148823708215538,0.0,0.0,0.0
context_injection,1,16,0.1875,0.042227984079646896,0.0,0.0,0.0,0.024546965632118847,0.0,0.042227984079646896,0.0,0.0,0.0
context_injection,2,16,0.5,1.0799678841328078,0.12177848428646836,0.0,1.4893007429869172,0.7890183536792051,0.02869203798810893,1.0602725807111575,0.01759963097194577,0.0,0.0
context_injection,3,16,0.125,0.0163646437547459,0.0,0.0,0.0,0.0163646437547459,0.0,0.0163646437547459,0.0,0.0,0.0
format_constraint,1,16,0.875,2.6761231187662995,3.999945403340392,1.3786795187904461,3.999945403340392,1.6481866423934757,0.0,2.523146585417559,0.04338158382126449,0.0,0.0
format_constraint,2,16,0.9375,2.6776321890965713,3.999945403340392,0.5434170364473303,3.999945403340392,1.999972701670196,0.0,2.627999397173531,0.045056681742854834,0.0,0.0
format_constraint,3,16,0.75,2.516330520842491,3.999945403340392,0.09818786252847539,3.999945403340392,2.1223978649617057,0.0,2.508148198965118,0.00818232187737295,0.0,0.0
language_switch,1,16,0.5625,1.2814984935504627,0.1309171500379672,0.0,2.469088310333216,0.7815053181329138,0.0,1.2814984935504627,0.0,0.0,0.0
language_switch,2,16,0.75,1.791459587668571,0.9422476742168319,0.19679601756373247,3.999945403340392,1.1657930979478723,0.0,1.7820876350231905,0.00818232187737295,0.0,0.0
language_switch,3,16,0.625,0.8934975263368358,0.27318893150468737,0.0,1.3328001197611703,0.7631024221703498,0.0,0.87589789536489,0.01759963097194577,0.0,0.0
neutral_paraphrase,1,16,0.0625,0.00818232187737295,0.0,0.0,0.0,0.00818232187737295,0.0,0.00818232187737295,0.0,0.0,0.0
neutral_paraphrase,2,16,0.4375,0.48340798488295766,0.0,0.0,0.2815940955511323,0.4239856566989218,0.0,0.48340798488295766,0.0,0.0,0.0
neutral_paraphrase,3,16,0.625,1.7817042127011486,1.2089376102369502,0.0,3.999945403340392,1.5235253031150011,0.0,1.7735218908237758,0.00818232187737295,0.0,0.0
none,0,16,0.125,0.03687435986548188,0.0,0.0,0.0,0.00818232187737295,0.0,0.03687435986548188,0.0,0.0,0.0
partial_extraction,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partial_extraction,2,6,0.8333333333333334,1.0996217615942927,0.5670339482131135,0.21295601448091112,1.1683489119749988,0.0,0.0,0.32711123044537943,0.2108308410773657,0.3264671021106929,0.0
partial_extraction,3,6,1.0,3.6597549382276866,3.999945403340392,3.999945403340392,3.999945403340392,0.22213335329352837,0.0,1.3332407368414734,2.6884497938999226,0.0,0.0
roleplay_frame,1,16,0.625,0.35290260513131755,0.1309171500379672,0.0,0.2815940955511323,0.21086342885562917,0.0,0.33653796137657166,0.0163646437547459,0.0,0.0
roleplay_frame,2,16,0.4375,0.3856795513146694,0.0,0.0,0.1309171500379672,0.0667341711706491,0.0,0.37749722943729647,0.00818232187737295,0.0,0.0
roleplay_frame,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transform_extraction,1,6,0.5,0.8469366340538222,0.0654585750189836,0.0,0.7457972257179223,0.18027906683042352,0.0,0.18027906683042352,0.0,0.6666575672233986,0.0
transform_extraction,2,6,1.0,3.999945403340392,3.999945403340392,3.999945403340392,3.999945403340392,3.3332878361169933,0.6666575672233986,3.3332878361169933,0.0,0.6666575672233986,0.0
transform_extraction,3,6,0.8333333333333334,2.6884497938999226,3.999945403340392,1.0981742133635735,3.999945403340392,1.6816017615638181,1.6597822365574901,1.6816017615638181,0.021819525006327865,0.6666575672233986,0.0
typo_noise,1,16,0.125,0.0163646437547459,0.0,0.0,0.0,0.0163646437547459,0.0,0.0163646437547459,0.0,0.0,0.0
typo_noise,2,16,0.25,0.04214659660406462,0.0,0.0,0.0327292875094918,0.02578195284931872,0.0,0.03396427472669167,0.0,0.00818232187737295,0.0
typo_noise,3,16,0.4375,1.146674677292491,0.0,0.0,2.469088310333216,0.8981968792671521,0.0,1.146674677292491,0.0,0.0,0.0
urgency_pressure,1,16,0.1875,0.07578697193878178,0.0,0.0,0.0,0.00818232187737295,0.0,0.07578697193878178,0.0,0.0,0.0
urgency_pressure,2,16,0.0625,0.01759963097194577,0.0,0.0,0.0,0.01759963097194577,0.0,0.01759963097194577,0.0,0.0,0.0
urgency_pressure,3,16,0.125,0.0163646437547459,0.0,0.0,0.0,0.0163646437547459,0.0,0.0163646437547459,0.0,0.0,0.0
