layer,label_col,n,pca_var_1,pca_var_2,pca_var_2d,silhouette_hidden,silhouette_pca2,linear_acc,ridge_r2_D_stat_max
0,transform_family,75,0.2710106372833252,0.12145815789699554,0.39246879518032074,0.20680224895477295,0.2659512162208557,1.0,-0.20468511210857754
4,transform_family,75,0.3276398181915283,0.13860109448432922,0.46624091267585754,0.11269538849592209,0.10668813437223434,1.0,-0.2271410990437328
8,transform_family,75,0.3010101616382599,0.1391836553812027,0.4401938170194626,0.13073067367076874,0.11939045041799545,1.0,-0.1672720454530059
12,transform_family,75,0.2968195080757141,0.1400909274816513,0.4369104355573654,0.13533850014209747,0.13193579018115997,1.0,-0.33032886523012794
16,transform_family,75,0.2927325665950775,0.15701539814472198,0.4497479647397995,0.16658225655555725,0.2093387395143509,1.0,-0.6189250989715687
20,transform_family,75,0.2700617015361786,0.1623563915491104,0.432418093085289,0.16480770707130432,0.3266303539276123,1.0,0.08757117580294838
24,transform_family,75,0.2682816684246063,0.18527719378471375,0.45355886220932007,0.12794005870819092,0.2802164554595947,1.0,-0.11436168774594102
