layer,label_col,n,pca_var_1,pca_var_2,pca_var_2d,silhouette_hidden,silhouette_pca2,linear_acc,ridge_r2_D_stat_max
0,transform_family,90,0.2751283049583435,0.1140877828001976,0.3892160877585411,0.17713667452335358,0.08138762414455414,1.0,0.26146507885797
4,transform_family,90,0.41843345761299133,0.14527662098407745,0.5637100785970688,0.26345744729042053,0.3755721151828766,1.0,0.19493724316242989
8,transform_family,90,0.36644691228866577,0.14855438470840454,0.5150012969970703,0.2688550055027008,0.44940385222435,1.0,0.27365247306342044
12,transform_family,90,0.338742196559906,0.1544136255979538,0.4931558221578598,0.2669329345226288,0.4720003306865692,1.0,0.1473788992893652
16,transform_family,90,0.30427244305610657,0.15780705213546753,0.4620794951915741,0.26654908061027527,0.46473732590675354,1.0,-0.1989408252171665
20,transform_family,90,0.27978482842445374,0.14171460270881653,0.42149943113327026,0.23136700689792633,0.16125629842281342,1.0,0.21642604680195188
24,transform_family,90,0.25864318013191223,0.16811569035053253,0.42675887048244476,0.18978621065616608,0.09050115942955017,1.0,0.183858986656247
